prk_place_nm,address,monthly_pass_fee,prk_style
서3동제5공영주차장,부산광역시 금정구 서동 40-3,52000,공영
금사동제1공영주차장,부산광역시 금정구 금사동 527-3,52000,공영
금사동제2공영주차장,부산광역시 금정구 금사동 388-8,52000,공영
부곡2동공영주차장,부산광역시 금정구 부곡동 294-20,90000,공영
부곡4동공영주차장,부산광역시 금정구 부곡동 768-39,52000,공영
온천장북측공영주차장,부산광역시 금정구 부곡동 896-3,160000,공영
남산동요산공영주차장,부산광역시 금정구 남산동 967-1,90000,공영
금샘로노상공영주차장,부산광역시 금정구 남산동 970-1,30000,공영
강동K주차장,부산광역시 강서구 대저2동 3134-1|2108-1|2107-1,0,민영
유통단지1로40번길공영주차장,부산광역시 강서구 대저2동 3135,0,공영
부영주차장,부산광역시 강서구 대저2동 3903,0,민영
보성주차장,부산광역시 강서구 대저2동 3972-1,0,민영
부용주차장,부산광역시 강서구 대저2동 4440,0,민영
맥도주차장,부산광역시 강서구 대저2동 5514,0,민영
천성~외양포간도로2공구 공영주차장,부산광역시 강서구 대항동 산 13-31,0,공영
오토마트주차장,부산광역시 강서구 강동동 1751,0,민영
엔투로지스주차장,부산광역시 강서구 구랑동 1193-5,0,민영
구서1동공영주차장,부산광역시 금정구 구서동 87-50,60000,공영
두실공영주차장,부산광역시 금정구 구서동 1052,90000,공영
범어사상마공영주차장,부산광역시 금정구 청룡동 439-1,0,공영
구서동만남의광장공영주차장,부산광역시 금정구 구서동 481-1,90000,공영
현대주차장,부산광역시 강서구 대저2동 2400| 2401-1| 2401-6,0,민영
현대주차장,부산광역시 강서구 대저2동 2400| 2401-1| 2401-6,0,민영
신공항주차장,부산광역시 강서구 대저2동 2405-2,0,민영
삼성주차장,부산광역시 강서구 대저2동 2405-2|3131-6|3131-7|3132-2|3134-4|3134-5,0,민영
한국주차장,부산광역시 강서구 대저2동 2418-6,0,민영
부용주차장,부산광역시 강서구 대저2동 2441,0,민영
ABC주차장,부산광역시 강서구 대저2동 2455-1,0,민영
김해주차장,부산광역시 강서구 대저2동 2464-3,0,민영
김해공항라운지주차장,부산광역시 강서구 대저2동 2493-2,0,민영
위드주차장,부산광역시 강서구 대저2동 2509-1,0,민영
드림주차장,부산광역시 강서구 대저2동 2510-2,0,민영
신공항주차장,부산광역시 강서구 대저2동 2699,0,민영
김해공항신공항주차장,부산광역시 강서구 대저2동 2699-1,0,민영
강동주차장,부산광역시 강서구 대저2동 3134-1| 2108-1| 2107-1,0,민영
금호주차장,부산광역시 강서구 대저1동 1190,0,민영
무지개주차장,부산광역시 강서구 대저1동 1314-8,0,민영
동호주차장,부산광역시 강서구 대저1동 1491-60,0,민영
부자집주차장,부산광역시 강서구 대저1동 2345-11,0,민영
강서주차장,부산광역시 강서구 대저1동 2376-2,0,민영
대보주차장,부산광역시 강서구 대저1동 2377-22,0,민영
대저주차장,부산광역시 강서구 대저1동 2377-27,0,민영
대저주차장,부산광역시 강서구 대저1동 750-1,0,민영
일공주차장,부산광역시 강서구 대저1동 754-1,0,민영
보광주차장 2,부산광역시 강서구 대저2동 1833,0,민영
강서제일 주차장,부산광역시 강서구 대저2동 1841-1|1842-5|1842-1-|1842-13|1843-4,0,민영
뉴공항주차장,부산광역시 강서구 대저2동 1842-10,0,민영
김해주차장,부산광역시 강서구 대저2동 2162-6,0,민영
광남주차장,부산광역시 강서구 대저2동 1858-1,0,민영
장기주차장,부산광역시 강서구 대저2동 1873-2,0,민영
강서주차장,부산광역시 강서구 대저2동 1873-2,0,민영
보광주차장 3,부산광역시 강서구 대저2동 1875-2,0,민영
가락화물주차장,부산광역시 강서구 죽림동 177,0,민영
가락주차장,부산광역시 강서구 죽림동 931,0,민영
지양곡 공영주차장,부산광역시 강서구 천성동 271-22,0,공영
오복미역 전용 주차장,부산광역시 강서구 화전동 555-1,0,민영
오륙도주차장,부산광역시 강서구 화전동 556-1,0,민영
대항공영 주차장,부산광역시 강서구 대항동 산 13-26,0,공영
스카이주차장,부산광역시 강서구 구랑동 1203,0,민영
우리들주차장,부산광역시 강서구 녹산동 1277-9,0,민영
